_id,__v,createdAt,sequence,updatedAt,courses
60957295a2b44651f4f825e2,0,2021-05-07 17:02:13.290,3849,2021-09-27 01:46:23.224,
6098b956dfd028e1069107e5,0,2021-05-10 04:40:54.067,3,2021-05-10 05:08:46.993,609898c3a3d06d13536860bb
6098b95fdfd028e10691083d,0,2021-05-10 04:41:03.372,3,2021-05-11 15:54:35.643,
6098c434dfd028e106917e20,0,2021-05-10 05:27:16.199,2,2021-05-10 05:57:29.117,6098ae7b3b9f07101f93643c
6098d1eddfd028e10699ac8f,0,2021-05-10 06:25:49.559,10,2021-05-10 14:34:16.313,6098c722e9db40107d742784
6098d466dfd028e1069b68c4,0,2021-05-10 06:36:22.235,68,2021-05-13 08:22:40.807,6098c42badadc310362e4148
6098d69adfd028e1069dc81c,0,2021-05-10 06:45:46.292,371,2021-09-27 01:03:41.524,6098a809ada1c61054ab9baf
6098d759dfd028e1069ebcb9,0,2021-05-10 06:48:57.143,44,2021-05-29 07:01:28.155,
6098d846dfd028e1069f56a1,0,2021-05-10 06:52:54.077,5,2021-05-11 03:25:09.448,6098ce44d94610c6634ed989
6098d8aadfd028e1069f7261,0,2021-05-10 06:54:34.800,25,2021-06-28 10:08:54.499,
6098d962dfd028e106a039a8,0,2021-05-10 06:57:38.854,25,2021-09-24 10:09:33.513,
6098fd00dfd028e106b5b26b,0,2021-05-10 09:29:36.067,116,2021-09-25 21:24:46.652,6098d8d2b956201341738e44
6099018adfd028e106b94e05,0,2021-05-10 09:48:58.602,17,2021-05-17 10:28:54.964,
609901b4dfd028e106b99fe6,0,2021-05-10 09:49:40.167,3,2021-05-14 05:45:33.154,
609901eddfd028e106b9a1f2,0,2021-05-10 09:50:37.838,2,2021-05-12 04:51:47.498,
60990219dfd028e106b9a3dc,0,2021-05-10 09:51:21.374,97,2021-09-24 09:31:56.476,6098bda3a3d06d13536860c4
6099021fdfd028e106b9a417,0,2021-05-10 09:51:27.947,12,2021-07-12 06:47:27.886,
609902a2dfd028e106ba25de,0,2021-05-10 09:53:38.442,3,2021-05-10 10:00:04.990,
60990301dfd028e106ba7bcf,0,2021-05-10 09:55:13.256,1,2021-05-10 09:55:13.256,
60990308dfd028e106ba81ff,0,2021-05-10 09:55:20.574,1,2021-05-10 09:55:20.574,
60990416dfd028e106baf297,0,2021-05-10 09:59:50.527,4,2021-05-24 01:35:15.226,
6099083adfd028e106bc4820,0,2021-05-10 10:17:30.752,50,2021-09-24 01:44:46.212,6098dfd084286213144b6d86
60990851dfd028e106bc4931,0,2021-05-10 10:17:53.057,95,2021-09-26 10:38:24.057,6098c42ea6240712fd2b7a7b
60990887dfd028e106bc533e,0,2021-05-10 10:18:47.509,51,2021-09-26 19:15:38.045,6098d59998a1111330b7587f
60992545dfd028e106c89173,0,2021-05-10 12:21:25.640,3,2021-05-30 16:27:29.945,
6099446edfd028e106cb0794,0,2021-05-10 14:34:22.683,1,2021-05-10 14:34:22.683,
6099f3f3dfd028e106dfed95,0,2021-05-11 03:03:15.801,23,2021-05-30 16:26:51.413,
6099fd3cdfd028e106e7dd25,0,2021-05-11 03:42:52.616,56,2021-09-23 18:04:57.877,6099ebfce803d120b85ec0a9
6099fd62dfd028e106e85657,0,2021-05-11 03:43:30.297,3,2021-05-11 07:02:32.971,
609a1348dfd028e106f81f5b,0,2021-05-11 05:16:56.360,4,2021-05-30 16:27:35.623,
609a1350dfd028e106f825c4,0,2021-05-11 05:17:04.867,4,2021-05-30 16:27:33.159,
609a13f1dfd028e106f88e0e,0,2021-05-11 05:19:45.978,7,2021-07-06 04:12:38.456,
609a1910dfd028e106fbc599,0,2021-05-11 05:41:36.744,37,2021-09-24 04:50:01.904,6099f8ab637a7e20c0d49614
609a1919dfd028e106fbc976,0,2021-05-11 05:41:45.073,54,2021-09-25 00:21:26.688,6099f5bca69ac0238c00a0f8
609a1920dfd028e106fbcd99,0,2021-05-11 05:41:52.131,1,2021-05-11 05:41:52.131,
609a1977dfd028e106fbeaca,0,2021-05-11 05:43:19.634,1,2021-05-11 05:43:19.634,
609a19acdfd028e106fbec9e,0,2021-05-11 05:44:12.513,7,2021-06-29 04:45:01.931,
609a1afddfd028e106fc0f22,0,2021-05-11 05:49:49.518,4,2021-06-29 04:48:15.114,
609a1b44dfd028e106fc11cb,0,2021-05-11 05:51:00.378,4,2021-06-29 04:49:31.416,
609a1b7ddfd028e106fc1e23,0,2021-05-11 05:51:57.920,5,2021-05-12 15:48:35.291,
609a3f66dfd028e1060e4c45,0,2021-05-11 08:25:10.578,44,2021-09-24 12:55:34.507,6098c81552c90013256ee885
609a54fedfd028e106198afd,0,2021-05-11 09:57:18.351,4,2021-05-17 10:35:01.127,
609a5506dfd028e106198bca,0,2021-05-11 09:57:26.828,4,2021-05-11 09:58:45.134,
609a5514dfd028e1061993a1,0,2021-05-11 09:57:40.490,8,2021-05-17 10:34:55.904,
609a551bdfd028e1061993d3,0,2021-05-11 09:57:47.880,3,2021-05-11 09:57:50.719,
609a8b2ddfd028e1063c6eaa,0,2021-05-11 13:48:29.898,38,2021-09-23 20:20:01.475,609a0b5b4042a820d2da1cdf
609a8d92dfd028e1063d647d,0,2021-05-11 13:58:42.876,81,2021-09-26 11:18:44.587,609901f960c9d01330ba885d
609a8d9cdfd028e1063d91b0,0,2021-05-11 13:58:52.587,2,2021-05-11 14:05:44.367,
609aa1c4dfd028e106485cdc,0,2021-05-11 15:24:52.495,62,2021-09-24 04:23:28.072,6098fd51ada1c61054abb4ef
609aa8a1dfd028e10649d16a,0,2021-05-11 15:54:09.821,48,2021-09-25 03:03:00.851,609954c0beba601077600414
609aaff5dfd028e1064a083a,0,2021-05-11 16:25:25.933,1,2021-05-11 16:25:25.933,
609aaffcdfd028e1064a086a,0,2021-05-11 16:25:32.250,2,2021-05-11 16:25:32.445,
609ab001dfd028e1064a0889,0,2021-05-11 16:25:37.863,2,2021-05-11 16:25:38.039,
609ab0bfdfd028e1064a0dde,0,2021-05-11 16:28:47.928,29,2021-09-25 02:15:00.091,6099e4194042a820d2d9fd3d
609ab0c5dfd028e1064a0e24,0,2021-05-11 16:28:53.683,1,2021-05-11 16:28:53.683,
