_id,version,code,commune_type_kh,commune_type_en,name_en,reference,prefix,issued_date,name,districts,createdAt,updatedAt,__v,note
120408,1,120408,សង្កាត់,Sangkat,Boeng Kak Ti Pir,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,បឹងកក់ទី ២,1204,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
100105,1,100105,ឃុំ,Commune,Kanhchor,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កញ្ជរ,1001,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,
100304,1,100304,ឃុំ,Commune,Koh Ta Suy,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កោះតាស៊ុយ,1003,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,
130104,1,130104,ឃុំ,Commune,Chrach,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ច្រាច់,1301,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
100604,1,100604,ឃុំ,Commune,Kantuot,តាមអនុក្រឹតលេខ ១០ អនក្រ.បក,301,2009-01-08T17:00:00.000+0000,កន្ទួត,1006,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
130402,1,130402,ឃុំ,Commune,Kuleaen Cheung,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,គូលែនជើង,1304,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,
120801,1,120801,សង្កាត់,Sangkat,Phnom Penh Thmei,អនុក្រឹត្យលេខ០៣ អនក្រ.បក,302,2009-01-08T17:00:00.000+0000,ភ្នំពេញថ្មី,1208,2020-09-07 02:23:18.684,2020-09-07 02:23:18.684,0,
120608,1,120608,សង្កាត់,Sangkat,Stueng Mean chey 1,អនុក្រឹត្យ ១៤៥ អនក្រ.បក,302,2016-07-17T17:00:00.000+0000,ស្ទឹងមានជ័យទី១,1206,2020-09-07 02:23:18.687,2020-09-07 02:23:18.687,0,បំបែកចេញពីសង្កាត់ស្ទឹងមានជ័យ
120520,1,120520,សង្កាត់,Sangkat,Tien,នស​/រកត/០៩១០/ ៧៦៣,302,2010-09-21T17:00:00.000+0000,ទៀន,1205,2020-09-07 02:23:18.683,2020-09-07 02:23:18.683,0,ផ្លាស់ប្តូរពីស្រុក កណ្ដាលស្ទឹង ខេត្តកណ្តាល
120606,1,120606,សង្កាត់,Sangkat,Chak Angrae Leu,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,ចាក់អង្រែលើ,1206,2020-09-07 02:23:18.688,2020-09-07 02:23:18.688,0,
121401,1,121401,សង្កាត់,Sangkat,Kamboul,"អនុក្រឹត្យលេខ០៤ អនក្រ.បក, អនុក្រិតលេខ ៨០",302,2019-01-07T17:00:00.000+0000,កំបូល,1214,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,កាត់ទៅខណ្ឌកំបូល
120211,1,120211,សង្កាត់,Sangkat,Voat Phnum,ប្រកាសលេខ ៤៩៣ ប្រ.ក,302,2001-04-29T17:00:00.000+0000,វត្ដភ្នំ,1202,2020-09-07 02:23:18.685,2020-09-07 02:23:18.685,0,
150309,1,150309,ឃុំ,Commune,Sna Ansa,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ស្នាអន្សា,1503,2020-09-07 02:23:18.688,2020-09-07 02:23:18.688,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
200104,1,200104,ឃុំ,Commune,Chres,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ច្រេស,2001,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
200105,1,200105,ឃុំ,Commune,Me Sar Thngak,៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,មេ សរថ្ងក,2001,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
180403,1,180403,ឃុំ,Commune,Ou Bak Roteh,ប្រកាសលេខ ៤៩៣ ប្រ.ក របស់ក្រសួងមហាផ្ទៃ,301,2001-04-29T17:00:00.000+0000,អូរបាក់រទេះ,1804,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,
141107,1,141107,ឃុំ,Commune,Preaek Ta Sar,តាមប្រកាសលេខ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ព្រែកតាសរ,1411,2020-09-07 02:23:18.689,2020-09-07 02:23:18.689,0,Sub-Degree 172 on 25 July 2011 - 1408 Move to 1411
170715,1,170715,ឃុំ,Commune,Trei Nhoar,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ត្រីញ័រ,1707,2020-09-07 02:23:18.691,2020-09-07 02:23:18.691,0,
160606,1,160606,ឃុំ,Commune,Sameakki,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,សាមគ្គី,1606,2020-09-07 02:23:18.698,2020-09-07 02:23:18.698,0,
141311,1,141311,ឃុំ,Commune,Tuek Thla,០៩ អនក្រ.បក,301,2009-01-08T17:00:00.000+0000,ទឹកថ្លា,1413,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,របស់ក្រសួងមហាផ្ទៃ
190509,1,190509,ឃុំ,Commune,Sam Ang,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,សំអាង,1905,2020-09-07 02:23:18.701,2020-09-07 02:23:18.701,0,
210711,1,210711,ឃុំ,Commune,Trea,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ទ្រា,2107,2020-09-07 02:23:18.701,2020-09-07 02:23:18.701,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
250205,1,250205,ឃុំ,Commune,Krouch Chhmar,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum,301,2013-12-30T17:00:00.000+0000,ក្រូចឆ្មារ,2502,2020-09-07 02:23:18.703,2020-09-07 02:23:18.703,0,Royal Degree 1445 on 31 Dec 2013 Move to Tboung Khmum
10406,1,10406,ឃុំ,Commune,Rohal,ប្រកាសលេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,រហាល,104,2020-09-07 02:23:18.704,2020-09-07 02:23:18.704,0,
150210,1,150210,ឃុំ,Commune,Kaoh Chum,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,កោះជុំ,1502,2020-09-07 02:23:18.692,2020-09-07 02:23:18.692,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
210904,1,210904,ឃុំ,Commune,Leay Bour,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,លាយបូរ,2109,2020-09-07 02:23:18.702,2020-09-07 02:23:18.702,0,តាមប្រកាសក្រសួងមហាផ្ទៃ
150101,1,150101,ឃុំ,Commune,Boeng Bat Kandaol,លេខ​៤៩៣​ប្រ.ក,301,2001-04-29T17:00:00.000+0000,បឹងបត់កណ្ដាល,1501,2020-09-07 02:23:18.696,2020-09-07 02:23:18.696,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
200415,1,200415,ឃុំ,Commune,Trapeang Sdau,លេខ ៤៩៣ ប្រ.ក,301,2001-04-29T17:00:00.000+0000,ត្រពាំងស្ដៅ,2004,2020-09-07 02:23:18.700,2020-09-07 02:23:18.700,0,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ
