_id,__v,createdAt,sequence,updatedAt,courses,course_contents
60957295a2b44651f4f825e2,0,2021-05-07 17:02:13.290,8276,2021-10-28 06:28:35.546,,
6098b956dfd028e1069107e5,0,2021-05-10 04:40:54.067,3,2021-05-10 05:08:46.993,609898c3a3d06d13536860bb,
6098b95fdfd028e10691083d,0,2021-05-10 04:41:03.372,3,2021-05-11 15:54:35.643,,6098a72060c9d01330ba4b7e
6098c434dfd028e106917e20,0,2021-05-10 05:27:16.199,2,2021-05-10 05:57:29.117,6098ae7b3b9f07101f93643c,
6098d1eddfd028e10699ac8f,0,2021-05-10 06:25:49.559,10,2021-05-10 14:34:16.313,6098c722e9db40107d742784,
6098d466dfd028e1069b68c4,0,2021-05-10 06:36:22.235,68,2021-05-13 08:22:40.807,6098c42badadc310362e4148,
6098d69adfd028e1069dc81c,0,2021-05-10 06:45:46.292,592,2021-10-27 16:10:10.706,6098a809ada1c61054ab9baf,
6098d759dfd028e1069ebcb9,0,2021-05-10 06:48:57.143,44,2021-05-29 07:01:28.155,,6098c457d94610c6634eccae
6098d846dfd028e1069f56a1,0,2021-05-10 06:52:54.077,5,2021-05-11 03:25:09.448,6098ce44d94610c6634ed989,
6098d8aadfd028e1069f7261,0,2021-05-10 06:54:34.800,42,2021-10-08 04:04:55.339,,6098cd1dada1c61054aba5d9
6098d962dfd028e106a039a8,0,2021-05-10 06:57:38.854,25,2021-09-24 10:09:33.513,,6098c5ee572591105f050865
6098fd00dfd028e106b5b26b,0,2021-05-10 09:29:36.067,197,2021-10-27 13:57:20.077,6098d8d2b956201341738e44,
6099018adfd028e106b94e05,0,2021-05-10 09:48:58.602,30,2021-10-26 03:08:41.180,,6098da2fa6240712fd2b8ae6
609901b4dfd028e106b99fe6,0,2021-05-10 09:49:40.167,9,2021-10-22 08:14:26.393,,6098e61552c90013256ef255
609901eddfd028e106b9a1f2,0,2021-05-10 09:50:37.838,5,2021-10-22 08:14:23.986,,6098ee9016621bd0e1d59543
60990219dfd028e106b9a3dc,0,2021-05-10 09:51:21.374,121,2021-10-27 13:55:02.268,6098bda3a3d06d13536860c4,
6099021fdfd028e106b9a417,0,2021-05-10 09:51:27.947,15,2021-10-26 08:16:28.354,,6098bf3ab956201341738e2f
609902a2dfd028e106ba25de,0,2021-05-10 09:53:38.442,3,2021-05-10 10:00:04.990,,6098d57aa6240712fd2b8ade
60990301dfd028e106ba7bcf,0,2021-05-10 09:55:13.256,1,2021-05-10 09:55:13.256,,6098ca55b956201341738e35
60990308dfd028e106ba81ff,0,2021-05-10 09:55:20.574,1,2021-05-10 09:55:20.574,,6098cd4de67a671035d8c0b0
60990416dfd028e106baf297,0,2021-05-10 09:59:50.527,4,2021-05-24 01:35:15.226,,6098db8a3b9f07101f93724b
6099083adfd028e106bc4820,0,2021-05-10 10:17:30.752,72,2021-10-28 03:51:43.452,6098dfd084286213144b6d86,
60990851dfd028e106bc4931,0,2021-05-10 10:17:53.057,129,2021-10-27 01:17:30.554,6098c42ea6240712fd2b7a7b,
60990887dfd028e106bc533e,0,2021-05-10 10:18:47.509,88,2021-10-28 05:46:36.837,6098d59998a1111330b7587f,
60992545dfd028e106c89173,0,2021-05-10 12:21:25.640,3,2021-05-30 16:27:29.945,,6098d13a5836b51311fe322a
6099446edfd028e106cb0794,0,2021-05-10 14:34:22.683,1,2021-05-10 14:34:22.683,,6098ca4923a6ae1348ac2ea7
6099f3f3dfd028e106dfed95,0,2021-05-11 03:03:15.801,23,2021-05-30 16:26:51.413,,6098cfb5d94610c6634ed98a
6099fd3cdfd028e106e7dd25,0,2021-05-11 03:42:52.616,65,2021-10-18 07:24:21.037,6099ebfce803d120b85ec0a9,
6099fd62dfd028e106e85657,0,2021-05-11 03:43:30.297,5,2021-10-08 03:52:27.424,,6099ed8324353d239ecdbf0a
609a1348dfd028e106f81f5b,0,2021-05-11 05:16:56.360,4,2021-05-30 16:27:35.623,,6098d2de448e2a100ccc2cb7
609a1350dfd028e106f825c4,0,2021-05-11 05:17:04.867,4,2021-05-30 16:27:33.159,,6098d1c7572591105f05086c
609a13f1dfd028e106f88e0e,0,2021-05-11 05:19:45.978,7,2021-07-06 04:12:38.456,,6098cd58e67a671035d8c0b1
609a1910dfd028e106fbc599,0,2021-05-11 05:41:36.744,63,2021-10-27 02:08:28.533,6099f8ab637a7e20c0d49614,
609a1919dfd028e106fbc976,0,2021-05-11 05:41:45.073,93,2021-10-27 19:55:56.747,6099f5bca69ac0238c00a0f8,
609a1920dfd028e106fbcd99,0,2021-05-11 05:41:52.131,8,2021-10-27 10:21:09.407,,6099f6b6637a7e20c0d49613
609a1977dfd028e106fbeaca,0,2021-05-11 05:43:19.634,1,2021-05-11 05:43:19.634,,609a14e224353d239ecdff4d
609a19acdfd028e106fbec9e,0,2021-05-11 05:44:12.513,10,2021-10-13 05:37:03.841,,6099f943fb46dc238dcfcb29
609a1afddfd028e106fc0f22,0,2021-05-11 05:49:49.518,5,2021-10-13 05:27:58.626,,6099fbc76d3ba12100e6d5f7
609a1b44dfd028e106fc11cb,0,2021-05-11 05:51:00.378,7,2021-10-13 05:28:18.912,,6099ff1ee803d120b85ec0b4
609a1b7ddfd028e106fc1e23,0,2021-05-11 05:51:57.920,5,2021-05-12 15:48:35.291,,609a0116b4292520f5a29bdf
609a3f66dfd028e1060e4c45,0,2021-05-11 08:25:10.578,71,2021-10-26 09:42:53.124,6098c81552c90013256ee885,
609a54fedfd028e106198afd,0,2021-05-11 09:57:18.351,6,2021-10-22 06:16:26.636,,6098c4ff84286213144b4543
609a5506dfd028e106198bca,0,2021-05-11 09:57:26.828,4,2021-05-11 09:58:45.134,,6098cdbd44f6bf1049971edc
609a5514dfd028e1061993a1,0,2021-05-11 09:57:40.490,8,2021-05-17 10:34:55.904,,6098c7496178631326a3f63d
609a551bdfd028e1061993d3,0,2021-05-11 09:57:47.880,3,2021-05-11 09:57:50.719,,6098e69b23a6ae1348ac2ec3
609a8b2ddfd028e1063c6eaa,0,2021-05-11 13:48:29.898,46,2021-10-27 09:18:06.100,609a0b5b4042a820d2da1cdf,
609a8d92dfd028e1063d647d,0,2021-05-11 13:58:42.876,118,2021-10-27 23:10:32.958,609901f960c9d01330ba885d,
609a8d9cdfd028e1063d91b0,0,2021-05-11 13:58:52.587,5,2021-10-23 05:40:52.259,,6099e02ad5c7ff20b23f9892
609aa1c4dfd028e106485cdc,0,2021-05-11 15:24:52.495,117,2021-10-27 13:32:00.120,6098fd51ada1c61054abb4ef,
609aa8a1dfd028e10649d16a,0,2021-05-11 15:54:09.821,64,2021-10-25 06:49:07.269,609954c0beba601077600414,
609aaff5dfd028e1064a083a,0,2021-05-11 16:25:25.933,2,2021-10-17 04:51:38.497,,609a5c3d0da1ae20f6d45352
609aaffcdfd028e1064a086a,0,2021-05-11 16:25:32.250,6,2021-10-26 14:46:05.239,,609a404c24353d239ece0b52
609ab001dfd028e1064a0889,0,2021-05-11 16:25:37.863,2,2021-05-11 16:25:38.039,,609a4868d5c7ff20b23fe4d2
609ab0bfdfd028e1064a0dde,0,2021-05-11 16:28:47.928,39,2021-10-26 19:50:35.751,6099e4194042a820d2d9fd3d,
609ab0c5dfd028e1064a0e24,0,2021-05-11 16:28:53.683,1,2021-05-11 16:28:53.683,,6099e4d814dca82233ec8661
609b2affdfd028e106520a1f,0,2021-05-12 01:10:23.242,141,2021-10-28 06:27:44.559,6098d49e01c156105d56a586,
609b2b11dfd028e106520a9f,0,2021-05-12 01:10:41.788,55,2021-10-28 04:25:13.878,,6098d59723a6ae1348ac2eb5
609b2b5fdfd028e106526ae1,0,2021-05-12 01:11:59.665,48,2021-10-28 06:26:55.190,,609a592749865223af428b75
609b2b60dfd028e106526afa,0,2021-05-12 01:12:00.354,11,2021-10-28 06:27:50.330,,609a5c28759b4720d1ecf3e7
609b5dbcdfd028e1067df6a4,0,2021-05-12 04:46:52.788,132,2021-10-26 03:41:26.978,609b4db014dca82233ecbbb4,
609b5dd1dfd028e1067df814,0,2021-05-12 04:47:13.706,64,2021-10-27 03:42:32.122,609a0c51fb46dc238dcfcb35,
609b7674dfd028e106922043,0,2021-05-12 06:32:20.272,4,2021-05-16 07:56:03.690,,6098f25e52ca27131ecd2498
609b7d49dfd028e1069d598f,0,2021-05-12 07:01:29.453,48,2021-10-28 06:17:51.951,609a3b5022aa5420dbc6f89b,
609b7d50dfd028e1069d709b,0,2021-05-12 07:01:36.115,14,2021-10-22 00:39:19.606,,609a3b9758404120e037be0b
609b7d58dfd028e1069d86ed,0,2021-05-12 07:01:44.382,2,2021-05-12 07:01:44.484,,609b246758404120e037e04c
609b7d5adfd028e1069d9121,0,2021-05-12 07:01:46.786,2,2021-05-12 07:01:46.941,,609b2496b0a428210f5d3c56
609b7d5fdfd028e1069d99e1,0,2021-05-12 07:01:51.816,2,2021-05-12 07:01:51.987,,609b25b4f1da7321f5f9744a
609b7d69dfd028e1069d9af3,0,2021-05-12 07:02:01.655,2,2021-05-12 07:02:01.813,,609b27899fd21b23c349507b
609b7d7fdfd028e1069dc5bd,0,2021-05-12 07:02:23.116,3,2021-10-08 03:52:27.786,,609b4f3cdc5f8522099890f5
609b7e38dfd028e1069f8eb7,0,2021-05-12 07:05:28.847,92,2021-10-27 06:56:34.280,6098fc3e572591105f050887,
609be11fdfd028e106d7b0c3,0,2021-05-12 14:07:27.456,47,2021-10-19 17:43:00.649,609a33acb0a428210f5d0a53,
609be1f8dfd028e106d7b69a,0,2021-05-12 14:11:04.441,186,2021-10-28 03:03:44.036,6098b693946da8130d466d51,
609be50cdfd028e106d8d919,0,2021-05-12 14:24:12.681,118,2021-10-24 01:39:05.550,6098dbfde556581039222c99,
609be551dfd028e106d8daa9,0,2021-05-12 14:25:21.894,21,2021-10-12 04:25:00.682,,6098b85a23a6ae1348ac2ea0
609bf69ddfd028e106dc2042,0,2021-05-12 15:39:09.441,424,2021-10-27 11:27:27.495,609949444c30c0100b1185de,
609bf801dfd028e106dc4588,0,2021-05-12 15:45:05.457,95,2021-10-24 02:59:33.732,609b2d6262bf3ea603ef35eb,
609bf806dfd028e106dc48ec,0,2021-05-12 15:45:10.354,7,2021-07-08 02:14:14.841,,609b2e5e14dca82233ecb12a
609bf809dfd028e106dc4e0a,0,2021-05-12 15:45:13.734,37,2021-10-27 11:27:41.731,,609a35b0d4924a2203109168
609bf81ddfd028e106dc5b6e,0,2021-05-12 15:45:33.301,8,2021-07-22 01:45:01.373,,609b8d16764931920e60c82c
609bf87bdfd028e106dd149e,0,2021-05-12 15:47:07.268,4,2021-07-08 01:06:03.991,,609b60f022aa5420dbc73c17
609bf88ddfd028e106dd160f,0,2021-05-12 15:47:25.790,10,2021-10-20 03:11:04.671,,609b7df8ff44b03aae604c9e
609bfc2edfd028e106dd85c0,0,2021-05-12 16:02:54.350,8,2021-10-27 11:28:08.872,,609b85e8a3a9e320d7e3056e
609bfc90dfd028e106dd9a95,0,2021-05-12 16:04:32.473,4,2021-10-04 02:39:09.800,,609b5cca22aa5420dbc73c15
609bfc91dfd028e106dd9aa6,0,2021-05-12 16:04:33.832,7,2021-10-04 02:39:33.563,,609b5d8349865223af42dab9
609bfcc5dfd028e106dd9c69,0,2021-05-12 16:05:25.485,3,2021-05-12 16:16:22.425,,609b7c4814dca82233ecbbce
609bfccbdfd028e106dd9c9f,0,2021-05-12 16:05:31.454,3,2021-05-12 16:09:25.750,,609b9d8377dc942215bd6791
609c5dcbdfd028e1060101cd,0,2021-05-12 22:59:23.378,91,2021-10-28 05:01:27.869,609a4f8c49865223af428b73,
609c8cbddfd028e106050765,0,2021-05-13 02:19:41.987,52,2021-10-25 07:18:44.671,609b52a7759b4720d1ed28bc,
609c8cc1dfd028e10605078d,0,2021-05-13 02:19:45.020,6,2021-09-02 15:15:58.409,,609b5355d5c7ff20b2402bf9
609c9fb2dfd028e106122b09,0,2021-05-13 03:40:34.396,9,2021-10-08 03:57:39.470,,609b55ffff44b03aae603456
609ce483dfd028e1063b1a78,0,2021-05-13 08:34:11.746,62,2021-10-27 02:29:23.741,609cd31477dc942215bdd914,
609ce8c4dfd028e10640bbc3,0,2021-05-13 08:52:20.507,34,2021-10-25 06:32:06.865,609ccf8824353d239ecf070f,
609ceb26dfd028e106432e65,0,2021-05-13 09:02:30.848,192,2021-10-28 05:19:22.312,609c8aa777dc942215bd9ab9,
609cecfddfd028e10645031f,0,2021-05-13 09:10:21.520,53,2021-10-22 00:51:38.028,609a38a79fd21b23c349023b,
609cf893dfd028e10654c1ed,0,2021-05-13 09:59:47.442,29,2021-10-28 01:51:07.180,609cd43bdc5f852209992c28,
609d1f98dfd028e10674f16e,0,2021-05-13 12:46:16.596,95,2021-10-28 04:35:02.726,609cc8582addc520e61d4190,
609d1f9ddfd028e10674f1cd,0,2021-05-13 12:46:21.012,10,2021-10-16 03:49:52.497,,6098c923d94610c6634ed987
609d2000dfd028e1067501b2,0,2021-05-13 12:48:00.992,6,2021-10-15 10:08:52.642,,609cca620cc1f12119531012
609d2040dfd028e106750b02,0,2021-05-13 12:49:04.471,2,2021-05-13 12:49:04.581,,609ccba8580af920dfed4927
609d2667dfd028e1067602bc,0,2021-05-13 13:15:19.880,3,2021-05-13 13:17:05.856,6099e646f1da7321f5f922bf,
609d2679dfd028e106760672,0,2021-05-13 13:15:37.867,1,2021-05-13 13:15:37.867,,6099e7342addc520e61c7a87
609dde31dfd028e1069345e2,0,2021-05-14 02:19:29.024,69,2021-10-26 08:18:30.320,609ce831fb46dc238dd0b38c,
609dde3fdfd028e10693464e,0,2021-05-14 02:19:43.983,9,2021-10-08 03:52:29.686,,609d3ed54042a820d2db362f
609e0abedfd028e10694478e,0,2021-05-14 05:29:34.175,29,2021-10-28 01:23:56.602,609ce77f9b82003abf251ffd,
609e0acedfd028e106944802,0,2021-05-14 05:29:50.699,38,2021-10-28 06:03:47.187,609befc422aa5420dbc75ae6,
609e0c46dfd028e10695a927,0,2021-05-14 05:36:06.039,5,2021-05-14 05:41:41.725,,609d6c3022aa5420dbc7fdbf
609e0c56dfd028e10695a9ff,0,2021-05-14 05:36:22.032,2,2021-05-14 05:36:22.230,,609d310cfb46dc238dd0b3a9
609e0c89dfd028e10695c882,0,2021-05-14 05:37:13.719,2,2021-05-14 05:37:13.847,,609d3705b0a428210f5e4bda
609e0d9edfd028e106964523,0,2021-05-14 05:41:50.958,2,2021-05-14 05:41:51.141,,609d3c745436ed23b6c89ceb
609e0efddfd028e1069712b2,0,2021-05-14 05:47:41.013,2,2021-05-14 05:47:41.145,,609b8e7e580af920dfed0e47
609e3ad1dfd028e106cd8a44,0,2021-05-14 08:54:41.334,238,2021-10-27 12:44:28.252,609e1793548b71237e9eb00e,
609e3af4dfd028e106cdffd2,0,2021-05-14 08:55:16.404,21,2021-10-25 16:40:22.659,,609e189d0cc1f121195392b3
609e3afddfd028e106ce0015,0,2021-05-14 08:55:25.621,5,2021-05-14 09:07:11.323,,609e19bc7a0916221d3e6fd8
609e3b00dfd028e106ce0028,0,2021-05-14 08:55:28.579,6,2021-10-25 16:36:19.751,,609e19fedc5f85220999d341
609e3b05dfd028e106ce004e,0,2021-05-14 08:55:33.381,3,2021-05-14 08:56:01.830,,609e1a25ff44b03aae60dec9
609e3b07dfd028e106ce0067,0,2021-05-14 08:55:35.351,3,2021-05-14 08:55:59.656,,609e1a6e2addc520e61d980c
609e3b0edfd028e106ce00aa,0,2021-05-14 08:55:42.800,6,2021-10-25 16:35:20.473,,609e198022aa5420dbc7fdd4
609e3b11dfd028e106ce00c1,0,2021-05-14 08:55:45.439,7,2021-10-25 16:34:08.695,,609e195b5436ed23b6c8a949
609e3b14dfd028e106ce00e4,0,2021-05-14 08:55:48.457,11,2021-10-25 16:39:20.451,,609e1918b0a428210f5e7beb
609e3b5ddfd028e106ce8f77,0,2021-05-14 08:57:01.234,95,2021-10-25 15:42:52.910,609e1a9c49865223af43e674,
609e3b88dfd028e106ced621,0,2021-05-14 08:57:44.494,81,2021-10-28 04:08:43.646,609ccac7b0a428210f5e2d6f,
609e3baddfd028e106cf035a,0,2021-05-14 08:58:21.344,39,2021-10-19 06:09:41.627,609cc6d3764931920e60edb9,
609e3fa8dfd028e106d2ec42,0,2021-05-14 09:15:20.458,35,2021-10-28 04:02:46.781,609cc60d9fd21b23c349f3bc,
609e4342dfd028e106d71a61,0,2021-05-14 09:30:42.662,73,2021-10-26 16:05:30.710,609d08255436ed23b6c89ce4,
609e4408dfd028e106d74274,0,2021-05-14 09:34:00.279,2,2021-05-14 09:34:00.550,,609b928bfb46dc238dd05402
609e44f2dfd028e106d755ff,0,2021-05-14 09:37:54.254,2,2021-05-14 09:37:54.441,,609b94610cc1f1211952f59e
609e453ddfd028e106d76f8b,0,2021-05-14 09:39:09.476,17,2021-09-23 10:29:45.375,,609d09510da1ae20f6d4e0f5
609f1422dfd028e106e993ef,0,2021-05-15 00:21:54.058,3,2021-08-23 08:26:30.918,,609a02c2ed06b12384ebdc78
609f5b4bcbbec8f8078de0c5,0,2021-05-15 05:25:31.436,15,2021-10-25 06:30:39.160,,6099565f3b9f07101f937f4c
60a0b24bcbbec8f807aeb465,0,2021-05-16 05:48:59.690,68,2021-10-25 18:03:41.657,609ccd9849865223af438892,
60a0ce7dcbbec8f807af60fe,0,2021-05-16 07:49:17.371,49,2021-10-23 07:19:24.138,609e22f877dc942215bdfe92,
60a0ce8bcbbec8f807af6172,0,2021-05-16 07:49:31.120,5,2021-10-21 02:52:13.305,,609e2398ff44b03aae610909
60a0cf66cbbec8f807af68f9,0,2021-05-16 07:53:10.091,3,2021-05-16 07:54:33.200,,609e24c40cc1f121195392bd
60a0cf8dcbbec8f807af6a17,0,2021-05-16 07:53:49.645,3,2021-05-16 07:54:30.018,,609e253962bf3ea603f00585
60a0cf97cbbec8f807af6a55,0,2021-05-16 07:53:59.254,2,2021-05-16 07:53:59.637,,609e25b377dc942215bdfe9a
60a12aebcbbec8f807b186c4,0,2021-05-16 14:23:39.071,54,2021-10-24 21:36:00.564,609e382258404120e038eac0,
60a1d594cbbec8f807b57911,0,2021-05-17 02:31:48.887,102,2021-10-27 02:49:35.298,609e41d90cc1f121195392d5,
60a20cd1cbbec8f807ba3c69,0,2021-05-17 06:27:29.184,36,2021-10-22 19:20:24.094,609e4c6580ebfe3fc79814ce,
60a20cdbcbbec8f807ba4496,0,2021-05-17 06:27:39.383,70,2021-10-27 18:25:13.599,609cf77fdc5f85220999b66d,
60a20d8fcbbec8f807baa799,0,2021-05-17 06:30:39.141,126,2021-10-26 07:45:11.713,609cf86f9fd21b23c34a62c6,
60a20d92cbbec8f807baa84e,0,2021-05-17 06:30:42.473,5,2021-07-08 15:11:57.702,,609cf8be759b4720d1edd05e
60a23827cbbec8f807c86ac7,0,2021-05-17 09:32:23.840,5,2021-07-03 16:40:45.448,,609d09d262bf3ea603efd2bc
60a23cb1cbbec8f807c8f47f,0,2021-05-17 09:51:45.706,10,2021-10-26 03:41:37.039,,609b4e71d4924a220310ceca
60a24727cbbec8f807c942c6,0,2021-05-17 10:36:23.665,7,2021-05-29 09:26:45.173,,609e43356d3ba12100e86123
60a24749cbbec8f807c943a0,0,2021-05-17 10:36:57.320,2,2021-05-17 10:36:57.501,,609f687c77dc942215be10f0
60a25cbbcbbec8f807c9dbca,0,2021-05-17 12:08:27.169,86,2021-10-25 02:03:36.959,609f6a20fb46dc238dd125b4,
